Writing Image
Write-Pointer 2117248
Write-Pointer 2117280
Write-Pointer 2117312
Write-Pointer 2117344
Write-Pointer 2117376
Write-Pointer 2117408
Write-Pointer 2117440
Write-Pointer 2117472
Write-Pointer 2117504
Write-Pointer 2117536
Write-Pointer 2117568
Write-Pointer 2117600
Write-Pointer 2117632
Write-Pointer 2117664
Write-Pointer 2117696
Write-Pointer 2117728
Write-Pointer 2117760
Write-Pointer 2117792
Write-Pointer 2117824
Write-Pointer 2117856
Write-Pointer 2117888
Write-Pointer 2117920
Write-Pointer 2117952
Write-Pointer 2117984
Write-Pointer 2118016
Write-Pointer 2118048
Write-Pointer 2118080
Write-Pointer 2118112
Write-Pointer 2118144
Write-Pointer 2118176
Write-Pointer 2118208
Write-Pointer 2118240
Write-Pointer 2118272
Write-Pointer 2118304
Write-Pointer 2118336
Write-Pointer 2118368
Write-Pointer 2118400
Write-Pointer 2118432
Write-Pointer 2118464
Write-Pointer 2118496
Write-Pointer 2118528
Write-Pointer 2118560
Write-Pointer 2118592
Write-Pointer 2118624
Write-Pointer 2118656
Write-Pointer 2118688
Write-Pointer 2118720
Write-Pointer 2118752
Write-Pointer 2118784
Write-Pointer 2118816
Write-Pointer 2118848
Write-Pointer 2118880
Write-Pointer 2118912
Write-Pointer 2118944
Write-Pointer 2118976
Write-Pointer 2119008
Write-Pointer 2119040
Write-Pointer 2119072
Write-Pointer 2119104
Write-Pointer 2119136
Write-Pointer 2119168
Write-Pointer 2119200
Write-Pointer 2119232
Write-Pointer 2119264
Write-Pointer 2119296
Write-Pointer 2119328
Write-Pointer 2119360
Write-Pointer 2119392
Write-Pointer 2119424
Write-Pointer 2119456
Write-Pointer 2119488
Write-Pointer 2119520
Write-Pointer 2119552
Write-Pointer 2119584
Write-Pointer 2119616
Write-Pointer 2119648
Write-Pointer 2119680
Write-Pointer 2119712
Write-Pointer 2119744
Write-Pointer 2119776
Write-Pointer 2119808
Write-Pointer 2119840
Write-Pointer 2119872
Write-Pointer 2119904
Write-Pointer 2119936
Write-Pointer 2119968
Write-Pointer 2120000
Write-Pointer 2120032
Write-Pointer 2120064
Write-Pointer 2120096
Write-Pointer 2120128
Write-Pointer 2120160
Write-Pointer 2120192
Write-Pointer 2120224
Write-Pointer 2120256
Write-Pointer 2120288
Write-Pointer 2120320
Write-Pointer 2120352
Write-Pointer 2120384
Write-Pointer 2120416
Write-Pointer 2120448
Write-Pointer 2120480
Write-Pointer 2120512
Write-Pointer 2120544
Write-Pointer 2120576
Write-Pointer 2120608
Write-Pointer 2120640
Write-Pointer 2120672
Write-Pointer 2120704
Write-Pointer 2120736
Write-Pointer 2120768
Write-Pointer 2120800
Write-Pointer 2120832
Write-Pointer 2120864
Write-Pointer 2120896
Write-Pointer 2120928
Write-Pointer 2120960
Write-Pointer 2120992
Write-Pointer 2121024
Write-Pointer 2121056
Write-Pointer 2121088
Write-Pointer 2121120
Write-Pointer 2121152
Write-Pointer 2121184
Write-Pointer 2121216
Write-Pointer 2121248
Write-Pointer 2121280
Write-Pointer 2121312
Write-Pointer 2121344
Write-Pointer 2121376
